file,session_started,n_calls,n_success,n_failed,models,lat_ms_p50,lat_ms_mean,lat_ms_max,sum_llm_s,wall_span_s,llm_share
llm-communication-20251209-182609.log,2025-12-09T18:26:09.978000,2714,2713,1,"{""local|qwen3-coder:30b"": 2714}",10009.5,12268.0,241273,33295.2,43031.0,0.774
llm-communication-20251210-155417.log,2025-12-10T15:54:17.768000,114,114,0,"{""local|qwen3-coder:30b"": 114}",10543.0,13894.8,54310,1584.0,1922.3,0.824
llm-communication-20251210-163942.log,2025-12-10T16:39:42.417000,188,188,0,"{""local|qwen3-coder:30b"": 188}",5598.5,7816.8,58654,1469.5,1590.5,0.924
llm-communication-20251210-170941.log,2025-12-10T17:09:41.407000,66,66,0,"{""local|qwen3-coder:30b"": 66}",10490.5,11996.9,31431,791.8,861.3,0.919
llm-communication-20251210-173005.log,2025-12-10T17:30:05.345000,3587,3487,100,"{""local|qwen3-coder:30b"": 3587}",10669,18425.7,241288,66092.9,74752.1,0.884
llm-communication-20251211-173959.log,2025-12-11T17:39:59.954000,3416,3315,101,"{""local|qwen3-coder:30b"": 3416}",10487.5,18937.2,241280,64689.5,72960.1,0.887
llm-communication-20251215-113529.log,2025-12-15T11:35:29.050000,205,205,0,"{""local|qwen3-coder:30b"": 205}",8181,10635.9,94025,2180.4,2278.8,0.957
llm-communication-20251215-124955.log,2025-12-15T12:49:55.715000,8,7,0,"{""local|qwen3-coder:30b"": 8}",10230,25357.3,99398,177.5,202.4,0.877
llm-communication-20251226-150630.log,2025-12-26T15:06:30.656000,2083,2081,2,"{""local|qwen3-coder:30b"": 2083}",19482,23626.6,241283,49214.3,64603.3,0.762
llm-communication-20251227-170925.log,2025-12-27T17:09:26.001000,0,0,0,{},,,,0.0,,
llm-communication-20251227-171140.log,2025-12-27T17:11:40.122000,1,0,0,"{""local|qwen3-coder:30b"": 1}",,,,0.0,,
llm-communication-20251227-171958.log,2025-12-27T17:19:58.798000,2214,2157,57,"{""local|qwen3-coder:30b"": 2214}",16991.5,27189.5,241485,60197.6,71154.5,0.846
llm-communication-20260103-103804.log,2026-01-03T10:38:04.673000,2,2,0,"{""local|qwen3-coder:30b"": 2}",28658.5,28658.5,48831,57.3,57.3,1.0
llm-communication-20260103-134606.log,2026-01-03T13:46:07,2298,2098,199,"{""local|qwen3-coder:30b"": 2298}",11725,32642.5,241337,74979.8,88206.7,0.85
llm-communication-20260104-142817.log,2026-01-04T14:28:17.860000,0,0,0,{},,,,0.0,,
llm-communication-20260104-142932.log,2026-01-04T14:29:32.082000,66,0,65,"{""local|qwen3:8b"": 66}",2511,3209.4,20929,208.6,209.0,0.998
llm-communication-20260104-144955.log,2026-01-04T14:49:55.763000,175,0,174,"{""local|qwen3:8b"": 175}",2430.0,2978.7,28065,518.3,518.7,0.999
llm-communication-20260104-165807.log,2026-01-04T16:58:07.435000,6592,1710,4881,"{""local|qwen3:8b"": 6592}",2509,11124.5,97930,73321.9,89814.4,0.816
llm-communication-20260105-180635.log,2026-01-05T18:06:35.853000,0,0,0,{},,,,0.0,,
llm-communication-20260105-180756.log,2026-01-05T18:07:56.652000,3,2,0,"{""local|qwen3-coder:30b"": 3}",68976.5,68976.5,129235,138.0,138.2,0.998
llm-communication-20260105-181241.log,2026-01-05T18:12:41.750000,1352,1320,32,"{""local|qwen3-coder:30b"": 1352}",9718.0,17381.4,241097,23499.7,32620.6,0.72
llm-communication-20260107-215746.log,2026-01-07T21:57:46.144000,3766,3735,31,"{""local|qwen3-coder:30b"": 3766}",18674.0,27242.1,241436,102593.8,114622.3,0.895
llm-communication-20260127-202548.log,2026-01-27T20:25:48.698000,23,0,23,"{""local|qwen3-coder:30b"": 23}",2498,2846.5,10395,65.5,96.8,0.676
llm-communication-20260127-203635.log,2026-01-27T20:36:35.595000,44,0,44,"{""local|qwen3-coder:30b"": 44}",2399.5,2411.0,3521,106.1,139.9,0.758
llm-communication-20260130-133914.log,2026-01-30T13:39:14.191000,5,0,4,"{""local|qwen3-coder:30b"": 5}",2479.0,2979.8,5027,11.9,12.0,0.995
llm-communication-20260130-134904.log,2026-01-30T13:49:04.993000,38,35,3,"{""local|qwen3-coder:30b"": 38}",10864.5,35711.8,241128,1357.0,1396.7,0.972
llm-communication-20260130-144855.log,2026-01-30T14:48:55.209000,32,14,18,"{""local|qwen3-coder:30b"": 32}",2189.5,13027.9,149546,416.9,450.4,0.926
llm-communication-20260130-150228.log,2026-01-30T15:02:28.350000,26,21,5,"{""local|qwen3-coder:30b"": 26}",17314.0,67245.6,241251,1748.4,1749.8,0.999
llm-communication-20260130-154637.log,2026-01-30T15:46:37.836000,40,0,40,"{""local|qwen3-coder:30b"": 40}",2839.0,3039.1,7674,121.6,159.3,0.763
llm-communication-20260130-160142.log,2026-01-30T16:01:42.042000,0,0,0,{},,,,0.0,,
llm-communication-20260130-163625.log,2026-01-30T16:36:25.128000,0,0,0,{},,,,0.0,,
llm-communication-20260130-163959.log,2026-01-30T16:39:59.664000,34,32,2,"{""local|qwen3-coder:30b"": 34}",11372.0,43050.6,241106,1463.7,1502.8,0.974
